vin,millesime,region,appellation,couleur,format,per,prix_unitaire,quantite,date,negociant,source,vin_clean
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2006,Bordeaux,Pauillac,red,75cl,1.0,66.62,7,20241004,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,83.29,5,20241004,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,80.62,4,20241004,brunswick,,grand puy lacoste
Lacoste-Borie,2010,Bordeaux,Pauillac,red,75cl,1.0,41.62,2,20241004,brunswick,,lacoste borie
Lacoste-Borie,2017,Bordeaux,Pauillac,red,75cl,12.0,19.0,1,20241004,brunswick,,lacoste borie
Lacoste-Borie,2019,Bordeaux,Pauillac,red,75cl,12.0,20.0,3,20241004,brunswick,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,50.5,2,20241004,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2022,Bordeaux,Pauillac,red,75cl,6.0,59.67,3,20241004,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2023,Bordeaux,Pauillac,red,75cl,6.0,45.5,5,20241004,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2006,Bordeaux,Pauillac,red,75cl,1.0,66.62,7,20240915,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,80.62,4,20240915,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,83.29,6,20240915,brunswick,,grand puy lacoste
Lacoste-Borie,2010,Bordeaux,Pauillac,red,75cl,1.0,41.62,4,20240915,brunswick,,lacoste borie
Lacoste-Borie,2017,Bordeaux,Pauillac,red,75cl,12.0,19.0,1,20240915,brunswick,,lacoste borie
Lacoste-Borie,2017,Bordeaux,Pauillac,red,75cl,1.0,28.29,12,20240915,brunswick,,lacoste borie
Lacoste-Borie,2019,Bordeaux,Pauillac,red,75cl,12.0,20.0,3,20240915,brunswick,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,50.5,2,20240915,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2022,Bordeaux,Pauillac,red,75cl,6.0,59.67,3,20240915,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2023,Bordeaux,Pauillac,red,75cl,6.0,45.5,5,20240915,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,1990,Bordeaux,Pauillac,red,75cl,1.0,200.0,3,20240903,mann_fine_wine,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2000,Bordeaux,Pauillac,red,75cl,12.0,104.17,1,20240903,mann_fine_wine,,grand puy lacoste
Chateau Grand Puy Lacoste,2016,Bordeaux,,red,75cl,12.0,50.0,1,20240822,vinum_fine_wines,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2006,Bordeaux,Pauillac,red,75cl,1.0,66.62,7,20240925,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,80.62,4,20240925,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,83.29,6,20240925,brunswick,,grand puy lacoste
Lacoste-Borie,2010,Bordeaux,Pauillac,red,75cl,1.0,41.62,2,20240925,brunswick,,lacoste borie
Lacoste-Borie,2017,Bordeaux,Pauillac,red,75cl,12.0,19.0,1,20240925,brunswick,,lacoste borie
Lacoste-Borie,2019,Bordeaux,Pauillac,red,75cl,12.0,20.0,3,20240925,brunswick,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,50.5,2,20240925,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2022,Bordeaux,Pauillac,red,75cl,6.0,59.67,3,20240925,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2023,Bordeaux,Pauillac,red,75cl,6.0,45.5,5,20240925,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2006,Bordeaux,Pauillac,red,75cl,1.0,66.62,7,20240923,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,83.29,6,20240923,brunswick,,grand puy lacoste
Lacoste-Borie,2010,Bordeaux,Pauillac,red,75cl,1.0,41.62,2,20240923,brunswick,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,80.62,4,20240923,brunswick,,grand puy lacoste
Lacoste-Borie,2017,Bordeaux,Pauillac,red,75cl,12.0,19.0,1,20240923,brunswick,,lacoste borie
Lacoste-Borie,2019,Bordeaux,Pauillac,red,75cl,12.0,20.0,3,20240923,brunswick,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,50.5,2,20240923,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2022,Bordeaux,Pauillac,red,75cl,6.0,59.67,3,20240923,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2023,Bordeaux,Pauillac,red,75cl,6.0,45.5,5,20240923,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2016,Bordeaux,Pauillac,red,75cl,12.0,52.5,1,20240916,ig_wines,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2019,Bordeaux,Pauillac,red,75cl,6.0,41.67,1,20240916,ig_wines,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,10cl,1.0,650.0,1,20240916,ig_wines,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2006,Bordeaux,Pauillac,red,75cl,1.0,66.62,5,20241027,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,83.29,4,20241027,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2010,Bordeaux,Pauillac,red,75cl,1.0,80.62,4,20241027,brunswick,,grand puy lacoste
Lacoste-Borie,2010,Bordeaux,Pauillac,red,75cl,1.0,41.62,1,20241027,brunswick,,lacoste borie
Lacoste-Borie,2017,Bordeaux,Pauillac,red,75cl,1.0,27.46,6,20241027,brunswick,,lacoste borie
Lacoste-Borie,2019,Bordeaux,Pauillac,red,75cl,12.0,20.0,3,20241027,brunswick,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,50.5,2,20241027,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2022,Bordeaux,Pauillac,red,75cl,6.0,59.67,3,20241027,brunswick,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2023,Bordeaux,Pauillac,red,75cl,6.0,45.5,5,20241027,brunswick,,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2007,Bordeaux,,red,75cl,12.0,68.75,1,20240911,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2009,Bordeaux,,red,75cl,12.0,61.25,1,20240911,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2014,Bordeaux,,red,75cl,6.0,40.0,2,20240911,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2014,Bordeaux,,red,75cl,12.0,37.5,1,20240911,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2015,Bordeaux,,red,75cl,6.0,86.67,1,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2016,Bordeaux,,red,75cl,1.0,19.42,2,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2016,Bordeaux,,red,75cl,12.0,19.42,1,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2016,Bordeaux,,red,75cl,1.0,19.42,1,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2016,Bordeaux,,red,150cl,3.0,126.0,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2016,Bordeaux,,red,150cl,1.0,126.0,1,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,75cl,6.0,19.33,10,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,75cl,1.0,19.33,1,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,37.5cl,1.0,10.12,1,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,150cl,3.0,41.0,4,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,150cl,1.0,41.0,2,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,75cl,6.0,50.0,1,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,150cl,3.0,114.33,2,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,150cl,1.0,114.33,1,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,600cl,1.0,495.0,3,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,75cl,6.0,17.67,9,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,37.5cl,12.0,9.38,1,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,37.5cl,1.0,9.38,4,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,150cl,3.0,37.83,1,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,75cl,12.0,17.67,2,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2019,Bordeaux,,red,75cl,6.0,50.0,9,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,6.0,18.33,4,20240911,justerini,broker,lacoste borie
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,6.0,18.83,10,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,1.0,18.83,3,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,6.0,18.83,4,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,75cl,6.0,50.67,10,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,150cl,3.0,104.67,3,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,150cl,1.0,104.67,2,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,37.5cl,12.0,26.17,1,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2021,Bordeaux,,red,75cl,6.0,22.5,10,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2021,Bordeaux,,red,75cl,6.0,22.5,10,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2021,Bordeaux,,red,75cl,6.0,22.5,1,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,300cl,1.0,235.0,2,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,75cl,6.0,50.0,10,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,150cl,3.0,103.33,10,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,37.5cl,12.0,29.58,10,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2022,Bordeaux,,red,75cl,6.0,20.08,5,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2022,Bordeaux,,red,150cl,3.0,43.67,5,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,300cl,1.0,283.0,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,75cl,6.0,60.83,1,20240911,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,150cl,3.0,122.67,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,37.5cl,12.0,31.08,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,75cl,6.0,67.5,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,600cl,1.0,532.0,5,20240911,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2023,Bordeaux,,red,75cl,6.0,18.5,5,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2023,Bordeaux,,red,300cl,1.0,119.0,5,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2023,Bordeaux,,red,150cl,3.0,40.33,5,20240911,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2023,Bordeaux,,red,37.5cl,12.0,10.5,5,20240911,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,300cl,1.0,227.0,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,75cl,6.0,45.5,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,150cl,3.0,94.33,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,37.5cl,12.0,24.0,5,20240911,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,600cl,1.0,424.0,5,20240911,justerini,non-broker,grand puy lacoste
Lacoste-Borie,2016,Bordeaux,Pauillac,red,75cl,6.0,30.0,10,20241011,decorum_vintners,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2017,Bordeaux,Pauillac,red,75cl,6.0,50.0,1,20241011,decorum_vintners,,grand puy lacoste
Lacoste-Borie,2018,Bordeaux,Pauillac,red,75cl,6.0,22.5,9,20241011,decorum_vintners,,lacoste borie
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,59.5,4,20241011,decorum_vintners,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2021,Bordeaux,Pauillac,red,75cl,6.0,52.0,1,20241011,decorum_vintners,,grand puy lacoste
Grand Puy Lacoste,2000,Bordeaux,,red,75cl,1.0,133.33,11,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,2005,Bordeaux,,red,75cl,1.0,120.83,46,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,1995,Bordeaux,,red,75cl,1.0,133.33,4,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,2009,Bordeaux,,red,75cl,1.0,91.67,71,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,2006,Bordeaux,,red,75cl,1.0,70.83,12,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,1989,Bordeaux,,red,75cl,1.0,125.0,16,20241005,hedonism_wines,,grand puy lacoste
Lacoste Borie,2000,Bordeaux,,red,75cl,1.0,50.0,10,20241005,hedonism_wines,,lacoste borie
Grand Puy Lacoste,2010,Bordeaux,,red,75cl,1.0,91.67,9,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,2008,Bordeaux,,red,75cl,1.0,62.5,14,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,2012,Bordeaux,,red,75cl,1.0,58.33,23,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,1986,Bordeaux,,red,75cl,1.0,125.0,4,20241005,hedonism_wines,,grand puy lacoste
Lacoste Borie,2014,Bordeaux,,red,75cl,1.0,29.17,4,20241005,hedonism_wines,,lacoste borie
Grand Puy Lacoste,2012,Bordeaux,,red,150cl,1.0,116.67,4,20241005,hedonism_wines,,grand puy lacoste
Grand Puy Lacoste,2020,Bordeaux,,red,75cl,6.0,59.0,10,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2016,Bordeaux,,red,37.5cl,24.0,33.25,1,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,1982,Bordeaux,,red,600cl,1.0,3560.0,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2019,Bordeaux,,red,75cl,6.0,42.5,10,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2023,Bordeaux,Pauillac,red,75cl,3.0,45.5,40,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2015,Bordeaux,,red,75cl,12.0,58.5,4,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2015,Bordeaux,,red,75cl,1.0,58.5,2,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2009,Bordeaux,,red,75cl,12.0,98.5,1,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2009,Bordeaux,,red,150cl,6.0,250.0,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2018,Bordeaux,Pauillac,red,75cl,12.0,55.5,14,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2022,Bordeaux,Pauillac,red,75cl,6.0,59.6,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2022,Bordeaux,,red,75cl,12.0,61.5,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2021,Bordeaux,,red,75cl,1.0,53.0,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2019,Bordeaux,,red,150cl,6.0,117.0,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2018,Bordeaux,,red,150cl,6.0,121.0,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2018,Bordeaux,,red,600cl,1.0,468.0,2,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2016,Bordeaux,Pauillac,red,75cl,12.0,62.0,10,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2010,Bordeaux,,red,75cl,12.0,62.5,1,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2017,Bordeaux,Pauillac,red,75cl,12.0,49.25,2,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2018,Bordeaux,Pauillac,red,37.5cl,1.0,26.0,6,20240930,grand_wine_merchant,,grand puy lacoste
GRAND PUY LACOSTE,2009,Bordeaux,,red,600cl,1.0,891.0,3,20240930,grand_wine_merchant,,grand puy lacoste
Grand Puy Lacoste,2023,Bordeaux,Pauillac,red,75cl,6.0,45.5,20,20240930,grand_wine_merchant,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,2020,Bordeaux,Pauillac,red,75cl,6.0,42.5,10,20240905,ditton_wine,,grand puy lacoste
Chateau Grand-Puy-Lacoste 5eme Cru Classe,1990,Bordeaux,Pauillac,red,75cl,1.0,200.0,2,20240917,mann_fine_wine,,grand puy lacoste
Chateau Grand Puy Lacoste,2016,Bordeaux,,red,75cl,12.0,50.0,2,20240809,vinum_fine_wines,,grand puy lacoste
Chateau Grand Puy Lacoste,2016,Bordeaux,,red,600cl,1.0,600.0,1,20240809,vinum_fine_wines,,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2007,Bordeaux,,red,75cl,12.0,68.75,1,20241016,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2009,Bordeaux,,red,75cl,12.0,61.25,1,20241016,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2014,Bordeaux,,red,75cl,6.0,40.0,1,20241016,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2015,Bordeaux,,red,75cl,6.0,38.33,3,20241016,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2015,Bordeaux,,red,75cl,6.0,86.67,1,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2016,Bordeaux,,red,75cl,12.0,19.42,1,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2016,Bordeaux,,red,75cl,1.0,19.42,1,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2016,Bordeaux,,red,150cl,3.0,108.33,1,20241016,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2016,Bordeaux,,red,150cl,3.0,126.0,5,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2016,Bordeaux,,red,150cl,1.0,126.0,1,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,75cl,6.0,19.33,10,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,75cl,1.0,19.33,1,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,37.5cl,1.0,10.12,1,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,150cl,3.0,41.0,1,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2018,Bordeaux,,red,150cl,1.0,41.0,2,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,75cl,6.0,50.0,1,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,150cl,3.0,114.33,2,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,150cl,1.0,114.33,1,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2018,Bordeaux,,red,600cl,1.0,495.0,3,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,37.5cl,12.0,9.38,1,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,37.5cl,1.0,9.38,4,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2019,Bordeaux,,red,150cl,3.0,37.83,1,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2019,Bordeaux,,red,75cl,6.0,50.0,8,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,6.0,18.33,4,20241016,justerini,broker,lacoste borie
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,6.0,18.83,10,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2020,Bordeaux,,red,75cl,1.0,18.83,3,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,75cl,6.0,50.67,6,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,150cl,3.0,104.67,3,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,150cl,1.0,104.67,2,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2020,Bordeaux,,red,37.5cl,12.0,26.17,1,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2021,Bordeaux,,red,75cl,6.0,22.5,10,20241016,justerini,non-broker,lacoste borie
"Lacoste Borie, Pauillac",2021,Bordeaux,,red,75cl,6.0,22.5,10,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,300cl,1.0,235.0,2,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,75cl,6.0,50.0,10,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,150cl,3.0,103.33,10,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2021,Bordeaux,,red,37.5cl,12.0,29.58,10,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2022,Bordeaux,,red,75cl,6.0,20.08,5,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,75cl,6.0,60.83,1,20241016,justerini,broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2022,Bordeaux,,red,75cl,6.0,67.5,5,20241016,justerini,non-broker,grand puy lacoste
"Lacoste Borie, Pauillac",2023,Bordeaux,,red,75cl,6.0,18.5,5,20241016,justerini,non-broker,lacoste borie
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,300cl,1.0,227.0,5,20241016,justerini,non-broker,grand puy lacoste
"Château Grand Puy Lacoste, 5ème Cru Classé, Pauillac",2023,Bordeaux,,red,75cl,6.0,45.5,5,20241016,justerini,non-broker,grand puy lacoste
